#frame size1  size2  size3  size4  size5  size6  size7  size8  size9  size10  size11  size12  size13  size14  size15  size16  size17  size18  size19  
     0  1000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     1  1000    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     2   407  212   51    4    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     3   317  200   59   24    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0
     4   242  188   69   29    8    2    1    0    0    0    0    0    0    0    0    0    0    0    0
     5   204  169   66   36   12    2    5    0    1    0    0    0    0    0    0    0    0    0    0
     6   204  146   72   34   18    5    3    0    0    0    1    0    0    0    0    0    0    0    0
     7   167  141   69   37   21    6    4    1    1    1    0    0    0    0    0    0    0    0    0
     8   160  128   76   38   15   11    5    1    1    0    1    0    0    0    0    0    0    0    0
     9   146  127   67   37   18    9    8    2    2    0    0    0    0    0    0    0    1    0    0
    10   130  113   69   43   18   10    8    3    2    0    0    0    0    0    0    0    1    0    0
    11   124  114   66   45   19    7   10    2    4    0    1    0    0    0    0    0    0    0    0
    12   113  119   66   47   18   12    8    2    2    0    1    0    0    0    0    0    0    0    0
    13    95  102   61   50   20   12    9    3    4    1    0    0    1    0    0    0    0    0    0
    14    92   99   55   49   19   16    9    3    5    0    0    1    0    1    0    0    0    0    0
    15    92   90   63   54   17   10   10    5    3    0    1    0    1    0    0    0    1    0    0
    16    93   78   56   45   21   12   13    7    4    1    1    0    0    0    0    0    0    0    0
    17   101   84   47   52   19   10   12    8    3    1    1    0    0    1    0    0    1    0    0
    18    89   93   50   50   22   10   13    8    3    1    0    0    1    0    0    0    0    0    0
    19    81   85   44   53   22   14   11    6    3    2    1    0    0    2    0    0    0    0    0
    20    76   68   50   42   22   14   15    6    7    3    0    0    0    1    0    1    0    0    0
    21    88   76   55   47   18   14   17    5    3    0    0    1    1    0    0    0    0    0    0
    22    78   85   58   45   29   12    9    6    2    1    1    0    0    1    0    0    1    0    0
    23    73   78   44   44   20   13   16    8    4    3    1    0    0    0    1    0    1    0    0
    24    81   68   45   39   21   22   12    7    4    1    0    2    1    1    0    0    0    1    0
    25    77   70   39   40   34   12   12    6    6    0    2    1    1    1    0    0    1    0    0
    26    77   66   49   37   27   16   12    6    3    3    1    0    1    1    0    1    0    0    0
    27    62   68   43   36   26   14   11    9    6    2    2    1    1    2    0    0    1    0    0
    28    58   70   38   35   27   18   12    8    5    1    2    0    1    1    0    1    1    0    0
    29    55   80   46   31   25   14    9   11    5    2    5    0    1    1    0    1    0    0    0
    30    59   62   41   34   26   18   11   10    2    4    4    0    1    1    0    0    2    0    0
    31    70   65   39   37   23   14   12   10    6    4    2    1    1    1    0    0    1    0    0
    32    56   64   37   32   29   19   11    9    4    6    3    1    0    2    0    0    0    0    0
    33    64   62   39   39   25   17    9    8    3    6    3    1    3    1    0    0    0    0    0
    34    68   60   42   26   26   21   14    5    5    4    1    1    1    1    1    0    1    0    0
    35    66   57   40   33   23   20   10    6    5    7    1    1    2    1    0    1    0    0    0
    36    63   58   38   39   27   15   17    6    4    6    1    2    1    0    1    0    0    0    0
    37    66   60   29   46   24   20   11   11    3    4    3    1    2    0    0    0    0    0    0
    38    50   69   40   36   31   16   12   12    2    1    4    1    0    0    0    1    1    0    0
    39    58   50   41   28   29   13   12   10    6    7    2    1    0    2    0    0    2    0    0
    40    55   58   38   37   25   15   12   10    4    4    3    1    1    1    0    0    0    0    0
    41    52   49   34   36   17   15   18   12    7    7    3    1    1    0    0    1    0    0    0
    42    46   60   35   35   32   18    9    7    8    8    3    0    0    0    0    0    1    0    0
    43    51   51   40   35   20   19   14   10    3    5    4    2    0    1    0    1    0    0    0
    44    52   55   36   31   20   12   12   13    6    7    5    1    0    0    0    1    0    0    1
    45    45   52   35   37   23   13   12   10    3    7    7    0    1    1    0    1    0    0    0
    46    50   61   37   25   23   16   13   11    4    9    3    1    0    1    0    0    0    0    0
    47    56   40   41   29   16   20   15   10    3    5    4    3    0    1    0    2    1    0    0
    48    48   45   37   25   27   17   14   11    3    5    8    2    0    0    0    0    0    0    1
    49    52   48   34   29   19   20   15   10    2    7    6    0    0    2    0    2    0    0    0
    50    50   50   34   30   22   20   13    7    6    7    4    1    1    1    0    1    0    0    0
    51    45   43   39   21   25   17   12   10   10    8    7    0    0    1    0    1    0    0    0
    52    42   44   26   33   23   20   13    8    5    6    6    3    1    1    0    1    0    0    0
    53    46   46   35   27   20   17   15   12    5    6    7    0    0    2    0    1    0    0    0
    54    39   48   29   30   25   17   13   10    5    3    3    4    1    3    1    1    0    1    0
    55    57   51   35   26   20   14   18    7    7    6    4    1    3    2    0    0    0    0    0
    56    52   45   35   29   19   18   17   13    5    6    1    2    1    3    0    1    0    0    0
    57    44   46   28   30   19   17   13    9    8    5    6    2    1    3    0    1    1    0    0
    58    47   40   34   26   16   14   17   11   11    5    3    1    2    1    0    2    0    0    0
    59    45   41   34   25   26   17   12    8   11    5    3    2    1    2    0    1    0    0    0
    60    40   41   27   33   22   16   15    6    8    8    4    2    0    2    1    0    1    0    0
    61    44   40   24   21   24   16   14   11    4    6    8    2    0    3    0    2    1    0    1
    62    44   42   41   24   24   16   15   10    6    4    3    4    1    2    0    0    1    0    1
    63    41   55   34   28   21   13   14   13    9    3    5    0    1    2    0    1    0    0    0
    64    42   30   34   31   21    8   15    9    8    7    4    3    0    1    2    2    0    0    0
    65    40   40   35   20   15    5   18   10    6    8    2    3    2    2    2    1    2    0    2
